Date,PM10,PM25
2018040100,36.96666667,18.73333333
2018040101,44.7,22.18333333
2018040102,44.7,22.15
2018040103,46.36666667,23
2018040104,50.11666667,25.01666667
2018040105,52.55,27.91666667
2018040106,62.18333333,34.53333333
2018040107,64.86440678,34.27118644
2018040108,65.65,33.43333333
2018040109,63.21666667,31.88333333
2018040110,65.38333333,28.43333333
2018040111,60.41666667,23.55
2018040112,55.9,21.28333333
2018040113,51.46666667,23.06666667
2018040114,56.63333333,28.85
2018040115,51.73333333,28.93333333
2018040116,57.05,34.3
2018040117,70.33333333,43.36666667
2018040118,73.33333333,46.01666667
2018040119,75.33898305,46.13559322
2018040120,71.93333333,40.21666667
2018040121,73.83333333,37.78333333
2018040122,71.45,33.76666667
2018040123,73.05,35.36666667
2018040200,70.96666667,34.96666667
2018040201,63.46666667,29.53333333
2018040202,60.26666667,26.18333333
2018040203,63.2,26.36666667
2018040204,77.76666667,33.86666667
2018040205,85.15,35.76666667
2018040206,81.46666667,34.61666667
2018040207,58.11864407,27.08474576
2018040208,63.91666667,30.66666667
2018040209,61.25423729,27.88135593
2018040210,58.23333333,26.36666667
2018040211,64.48333333,27.6
2018040212,69.81666667,29.51666667
2018040213,68.91666667,28.16666667
2018040214,65.75,25.36666667
2018040215,62.11666667,24.15
2018040216,69.36666667,27.78333333
2018040217,73.46666667,32.05
2018040218,70.3,28.46666667
2018040219,58.50847458,19.44067797
2018040220,59.11666667,20.56666667
2018040221,56.95,20.65
2018040222,50.5,18.75
2018040223,43.4,13.83333333
2018040300,47.11666667,15.11666667
2018040301,48.66666667,14.7
2018040302,47.16666667,12.38333333
2018040303,46.26666667,12.13333333
2018040304,46.33333333,13.5
2018040305,48.36666667,14.41666667
2018040306,45.93333333,14.21666667
2018040307,44.49152542,13.45762712
2018040308,45.71666667,13.7
2018040309,63,28.16666667
2018040310,70.26666667,34.81666667
2018040311,60.48333333,16.16666667
2018040312,80.65,21.66666667
2018040313,78.66666667,20.5
2018040314,84.73333333,20.8
2018040315,82.18333333,20.86666667
2018040316,85.23333333,20.28333333
2018040317,80.81666667,18.4
2018040318,68.9,14.08333333
2018040319,67.93220339,15.3559322
2018040320,65.8,15.8
2018040321,76.88333333,21.68333333
2018040322,85.83333333,30.25
2018040323,76.5,36.56666667
2018040400,67.01666667,37.2
2018040401,60.28333333,29.35
2018040402,39.23333333,20.65
2018040403,28.03333333,18.06666667
2018040404,17,11.85
2018040405,6.677777778,4.027777778
2018040406,8.633333333,5.283333333
2018040407,5.542372881,2.966101695
2018040408,6.6,3.8
2018040409,6.9,3.75
2018040410,9.966666667,4.666666667
2018040411,11.2,6.983333333
2018040412,7.466666667,3.466666667
2018040413,9.8,5.833333333
2018040414,13.38888889,8.133333333
2018040415,8.583333333,6.083333333
2018040416,15.1,11.3
2018040417,11.53333333,3.683333333
2018040418,13.42372881,6.305084746
2018040419,10.93220339,5.474576271
2018040420,10.8,7.183333333
2018040421,10.71666667,8.75
2018040422,9.483333333,8.366666667
2018040423,8.083333333,8.083333333
2018040500,5.683333333,4.633333333
2018040501,7.633333333,3.8
2018040502,5.766666667,3.233333333
2018040503,6.016666667,3.65
2018040504,4.666666667,3.433333333
2018040505,11.66666667,11.66666667
2018040506,12.33333333,12.33333333
2018040507,12.40677966,12.40677966
2018040508,10.5,9.433333333
2018040509,12.81666667,7.866666667
2018040510,12.03333333,5.533333333
2018040511,13.1,6.8
2018040512,13.26666667,13.26666667
2018040513,18.41666667,16.16666667
2018040514,13.83333333,7.633333333
2018040515,13.96666667,7.7
2018040516,12.16666667,8.316666667
2018040517,8.233333333,6.5
2018040518,6.116666667,4.183333333
2018040519,8.661016949,4.728813559
2018040520,9.016666667,3.816666667
2018040521,5.3,3.616666667
2018040522,8.95,7.266666667
2018040523,5.966101695,3.322033898
2018040600,7.116666667,4.083333333
2018040601,13.08333333,7.8
2018040602,6.983333333,1.683333333
2018040603,15.26666667,3.916666667
2018040604,11.58333333,6.4
2018040605,12,6.65
2018040606,13.13333333,7.216666667
2018040607,12.93220339,7.169491525
2018040608,9.016666667,5.75
2018040609,30.5,26.7
2018040610,46.3,28.08333333
2018040611,60.56666667,17.55
2018040612,118.4833333,30.6
2018040613,210.5666667,54.96666667
2018040614,322.1833333,74.68333333
2018040615,244.3728814,44.16949153
2018040616,299.5333333,43.51666667
2018040617,178.6166667,19.11666667
2018040618,128.6551724,11.05172414
2018040619,171.9152542,14.28813559
2018040620,62.11666667,5.35
2018040621,55.81666667,7.883333333
2018040622,74.15,23.35
2018040623,50.88135593,24.84745763
2018040700,48.76666667,21.68333333
2018040701,49.26666667,24.65
2018040702,41.88333333,30.28333333
2018040703,23.61666667,16.5
2018040704,27.36666667,19.96666667
2018040705,30.21666667,21.1
2018040706,42.48333333,24.25
2018040707,50.91525424,28.06779661
2018040708,49.91666667,27.56666667
2018040709,54.38333333,27.35
2018040710,50.9,22.1
2018040711,47.63333333,18.25
2018040712,43.41666667,17.75
2018040713,37.91666667,14.91666667
2018040714,34.98333333,12.21666667
2018040715,33.18333333,10.03333333
2018040716,33.76666667,8.9
2018040717,37.16666667,10.43333333
2018040718,30.4,10.13333333
2018040719,26.38983051,9.050847458
2018040720,23.15,9.833333333
2018040721,25.01666667,11.06666667
2018040722,23.53333333,9.816666667
2018040723,23.61666667,12.35
2018040800,25.28333333,12.91666667
2018040801,27.13333333,13.91666667
2018040802,24.06666667,12.11666667
2018040803,22.73333333,9.866666667
2018040804,29.26666667,13.73333333
2018040805,22.95,10.86666667
2018040806,20.68333333,9.183333333
2018040807,22.89830508,9.423728814
2018040808,32.78333333,13.41666667
2018040809,32.45,15.33333333
2018040810,27.65,11.95
2018040811,21.86666667,11.91666667
2018040812,23.58333333,13.88333333
2018040813,22.3,11.06666667
2018040814,29.26666667,14.61666667
2018040815,28.03333333,13.5
2018040816,20.85,9.4
2018040817,25.85,12.28333333
2018040818,18.2,10.38333333
2018040819,17.66101695,12.44067797
2018040820,16.93333333,15.38333333
2018040821,19.88333333,19.88333333
2018040822,14.86666667,14.5
2018040823,11.83333333,9.4
2018040900,10.48333333,7.916666667
2018040901,21.31666667,19.88333333
2018040902,22.25,18.98333333
2018040903,22.3,20.71666667
2018040904,30.51666667,29.9
2018040905,33.35,30.9
2018040906,32.75,29.05
2018040907,41.76271186,36.59322034
2018040908,39.61666667,36.05
2018040909,28.28333333,24.3
2018040910,34.7,24.25
2018040911,41.71666667,23.95
2018040912,46.58333333,26.63333333
2018040913,41.06666667,23.5
2018040914,31.88333333,18.25
2018040915,41.35,25.15
2018040916,42.73333333,28.36666667
2018040917,36.33898305,24.18644068
2018040918,36.1,25.23333333
2018040919,34.50847458,22.77966102
2018040920,36.36666667,24.8
2018040921,36.23333333,22.86666667
2018040922,39.5,22.6
2018040923,47.83333333,26.9
2018041000,44.06666667,25.11666667
2018041001,35.98333333,22.5
2018041002,32.8,21.11666667
2018041003,29.42372881,19.22033898
2018041004,26.48333333,17.6
2018041005,31.55,22.01666667
2018041006,35.16666667,24.33333333
2018041007,39.27586207,28.32758621
2018041008,40.75,29.21666667
2018041009,43.41666667,27.45
2018041010,56.81666667,34.08333333
2018041011,71.78333333,39.73333333
2018041012,63.31666667,30.45
2018041013,59.7,24.78333333
2018041014,53.6,18.41666667
2018041015,49.35,11.05
2018041016,48.43333333,10.23333333
2018041017,38.01666667,10.18333333
2018041018,36.18333333,9.033333333
2018041019,40.10169492,8.237288136
2018041020,32.93333333,9.1
2018041021,33.46666667,13.53333333
2018041022,57.53333333,26.65
2018041023,54.35,24.66666667
2018041100,57.4,27.11666667
2018041101,55.13333333,26.86666667
2018041102,59.98333333,26.13333333
2018041103,62.20338983,23.6779661
2018041104,93.13333333,37.35
2018041105,107.9666667,42.85
2018041106,108.4833333,43.01666667
2018041107,98.79661017,37.84745763
2018041108,82.5,28.95
2018041109,69.88333333,25.15
2018041110,59.95,24
2018041111,65.96666667,27.25
2018041112,72.45,29.95
2018041113,56.3,24
2018041114,54.11666667,23.96666667
2018041115,47.48333333,19.83333333
2018041116,40.65,15.41666667
2018041117,41.4,13.65
2018041118,38.18333333,9.683333333
2018041119,43.6779661,11.15254237
2018041120,40.51666667,12.2
2018041121,40.76666667,13.76666667
2018041122,49.3559322,16.69491525
2018041123,52.46666667,18.98333333
2018041200,47.35,18.48333333
2018041201,42.18333333,16.1
2018041202,43.78333333,16.88333333
2018041203,37.16666667,12.31666667
2018041204,39.53333333,12.91666667
2018041205,39.61666667,13.45
2018041206,41.91666667,15.21666667
2018041207,44.79661017,16.52542373
2018041208,49.51666667,18.68333333
2018041209,56.28333333,20
2018041210,66.88333333,24.48333333
2018041211,58.75,21.11666667
2018041212,48.06666667,14.88333333
2018041213,44.5,11.61666667
2018041214,47.86666667,18.01666667
2018041215,44.58333333,21.36666667
2018041216,39.21666667,10.76666667
2018041217,39.15,12.68333333
2018041218,29.91666667,10.06666667
2018041219,28.22413793,8.465517241
2018041220,24.91666667,7.75
2018041221,22.2,8.016666667
2018041222,22.71666667,9.1
2018041223,28.06666667,12.4
2018041300,28.96610169,13.69491525
2018041301,31.11666667,12.45
2018041302,28.8,11.11666667
2018041303,30.25,12.78333333
2018041304,33.78333333,14.51666667
2018041305,36.25,17.08333333
2018041306,36,18.05
2018041307,34.10169492,15.62711864
2018041308,38.65,17.26666667
2018041309,38.9,16.61666667
2018041310,37.05,15.15
2018041311,35.23333333,13.91666667
2018041312,30.26666667,10.5
2018041313,28.73333333,9.333333333
2018041314,26.08333333,8.966666667
2018041315,26.65,10.85
2018041316,29.5,12.56666667
2018041317,30.63333333,14.48333333
2018041318,26.48333333,13.31666667
2018041319,32.94915254,15.22033898
2018041320,33.7,14.31666667
2018041321,37.63333333,18.85
2018041322,40.01666667,19.86666667
2018041323,41.76666667,17.66666667
