Date,PM10,PM25
2018040100,74.43333333,39.26666667
2018040101,61.48333333,30.2
2018040102,62.1,29.4
2018040103,59.46666667,29.5
2018040104,54.53333333,28.18333333
2018040105,48.1,22.7
2018040106,54.38333333,26.61666667
2018040107,68.06666667,35.31666667
2018040108,59.46666667,30.78333333
2018040109,54.05,24.78333333
2018040110,79.41666667,32.05
2018040111,79.18333333,33.3
2018040112,65.96666667,28.56666667
2018040113,49.51666667,21.95
2018040114,56.96666667,26.18333333
2018040115,58.46666667,25.88333333
2018040116,68.46666667,35.31666667
2018040117,98.53333333,56.65
2018040118,85.23333333,46.81666667
2018040119,65.26666667,31.06666667
2018040120,66.38333333,30.68333333
2018040121,64.23333333,27.16666667
2018040122,61.66666667,25.18333333
2018040123,62.16666667,27.3
2018040200,62.15,28.2
2018040201,58.46666667,24.03333333
2018040202,53.8,20.86666667
2018040203,59.35,22.81666667
2018040204,60.78333333,23.6
2018040205,55.03333333,21.93333333
2018040206,56.83333333,24.63333333
2018040207,53.4,22.73333333
2018040208,54.46666667,22.83333333
2018040209,53.4,22.61666667
2018040210,49.88333333,20.66666667
2018040211,73.65,30.78333333
2018040212,93.71666667,39.5
2018040213,90.26666667,38.28333333
2018040214,83.3,33.93333333
2018040215,87.81666667,36.06666667
2018040216,89.25,35.7
2018040217,89.03333333,35.13333333
2018040218,83.88333333,30.9
2018040219,55,15.78333333
2018040220,54.26666667,15.96666667
2018040221,48.73333333,15.93333333
2018040222,48.63333333,15.8
2018040223,46.98333333,13.71666667
2018040300,48.55,13.55
2018040301,45.78333333,12.91666667
2018040302,46.86666667,13.43333333
2018040303,44.58333333,12.66666667
2018040304,46.63333333,13.45
2018040305,48.2,13.81666667
2018040306,47.11666667,14.33333333
2018040307,45.41666667,12.48333333
2018040308,47.51666667,13.01666667
2018040309,58.85,25.08333333
2018040310,72.88333333,35.86666667
2018040311,59.31666667,16.18333333
2018040312,71.38333333,20.05
2018040313,71.66666667,20.15
2018040314,92.53333333,24.51666667
2018040315,95.88333333,25.11666667
2018040316,96.75,23.4
2018040317,91.58333333,20
2018040318,63.28333333,13.85
2018040319,60.73333333,13.28333333
2018040320,61.48333333,14.9
2018040321,72.83333333,20.9
2018040322,79.35,26.2
2018040323,72.71666667,27.45
2018040400,65.6,28
2018040401,63.95,25.38333333
2018040402,37.33333333,16.2
2018040403,29.36666667,14.61666667
2018040404,18.46666667,9.633333333
2018040405,9.616666667,5.933333333
2018040406,7.95,6.416666667
2018040407,9.3,7.966666667
2018040408,5.2,3.383333333
2018040409,7.783333333,4.966666667
2018040410,8.333333333,3.333333333
2018040411,12.31666667,4.733333333
2018040412,12.35,6.516666667
2018040413,11.3,5.55
2018040414,11.1,4.3
2018040415,14.33333333,7.25
2018040416,16.45,6.366666667
2018040417,14.1,4.516666667
2018040418,16.25,5.166666667
2018040419,18.08333333,8.683333333
2018040420,19.81666667,12.26666667
2018040421,16.91666667,11.43333333
2018040422,14.28333333,10.13333333
2018040423,9.6,4.066666667
2018040500,9.85,3.55
2018040501,7.516666667,4.5
2018040502,7.383333333,4.25
2018040503,8.533333333,4.166666667
2018040504,8.883333333,3.883333333
2018040505,14.23333333,8.3
2018040506,13.61666667,7.633333333
2018040507,16.48333333,11.06666667
2018040508,13,8.266666667
2018040509,11.48333333,5.766666667
2018040510,13.16666667,7.5
2018040511,19.61666667,9.433333333
2018040512,15.06666667,7.85
2018040513,17.16666667,10.53333333
2018040514,19.8,12.13333333
2018040515,16.98333333,10.28333333
2018040516,14.28333333,7.6
2018040517,15.1,7.783333333
2018040518,10.15,6.5
2018040519,13.38333333,10.23333333
2018040520,12.36666667,9.05
2018040521,17.11666667,11.9
2018040522,13.3,9.733333333
2018040523,12.31666667,7.033333333
2018040600,12.58333333,5.566666667
2018040601,13.48333333,7.25
2018040602,18.15,10.06666667
2018040603,21.16666667,13.41666667
2018040604,16.05,9.55
2018040605,17.78333333,14.13333333
2018040606,16.26666667,14.5
2018040607,17.81666667,14.33333333
2018040608,20.98333333,19.66666667
2018040609,34.53333333,27.2
2018040610,48.93333333,30.98333333
2018040611,57.33333333,16.95
2018040612,97.21666667,27.91666667
2018040613,166.6166667,49.05
2018040614,207.5333333,51.15
2018040615,206.9833333,39.9
2018040616,206.6833333,31.11666667
2018040617,172.5833333,18.45
2018040618,133.0338983,11.44067797
2018040619,124.2166667,11.11666667
2018040620,96.76666667,10.4
2018040621,86.26666667,14.05
2018040622,91.41666667,28.61666667
2018040623,47.58333333,24.68333333
2018040700,43.85,21.23333333
2018040701,43.65,23.81666667
2018040702,44.46666667,31.71666667
2018040703,25.28333333,16.11666667
2018040704,29.85,18.78333333
2018040705,49.28333333,31.1
2018040706,63.86666667,35.16666667
2018040707,60.88333333,33.46666667
2018040708,66.21666667,36.53333333
2018040709,56.93333333,28.56666667
2018040710,57.96666667,24.15
2018040711,54.9,20.41666667
2018040712,46.78333333,18.25
2018040713,36.75,12.91666667
2018040714,39.05,12.06666667
2018040715,36.36666667,11.61666667
2018040716,33.8,9.683333333
2018040717,31.38333333,8.483333333
2018040718,37.96666667,12.7
2018040719,29.61666667,12.26666667
2018040720,29.91666667,14.98333333
2018040721,27.83333333,12.23333333
2018040722,30.06666667,12.48333333
2018040723,29.01666667,14.21666667
2018040800,30.41666667,15.01666667
2018040801,31.21666667,14.15
2018040802,44.45,17.83333333
2018040803,50.76666667,21.6
2018040804,39.9,16.55
2018040805,38.76666667,16.55
2018040806,38.85,16.2
2018040807,44.95,19.75
2018040808,47.83333333,20.68333333
2018040809,33.5,12.96666667
2018040810,27.2,9.266666667
2018040811,26.15,8.566666667
2018040812,30.86666667,11.35
2018040813,27.33333333,13.36666667
2018040814,29.01666667,12.73333333
2018040815,29.48333333,14.06666667
2018040816,24.28333333,10.23333333
2018040817,43.83333333,17.08333333
2018040818,42.93333333,18.18333333
2018040819,35.81666667,19.18333333
2018040820,33.05,22.11666667
2018040821,29.9,22.2
2018040822,32.4,24.93333333
2018040823,24.9,17.63333333
2018040900,40.11666667,20.33333333
2018040901,43.4,30.75
2018040902,45.23333333,33.75
2018040903,43.7,30.66666667
2018040904,52.15,36.46666667
2018040905,57.45,40.68333333
2018040906,66.58333333,46.98333333
2018040907,73.36666667,52.68333333
2018040908,86.55,61.63333333
2018040909,41.53333333,28.93333333
2018040910,44.35,28.7
2018040911,46.38333333,26.5
2018040912,42.35,24.36666667
2018040913,36.35,20.86666667
2018040914,30.45,17.48333333
2018040915,30.85,18.31666667
2018040916,38.41666667,23.3
2018040917,39.49152542,23.33898305
2018040918,37.21666667,22.91666667
2018040919,38.41666667,22.68333333
2018040920,38.35,23.33333333
2018040921,39.58333333,23.01666667
2018040922,40.15,22.93333333
2018040923,42.2,23.81666667
2018041000,46.65,26.26666667
2018041001,42,25
2018041002,43.15,26.26666667
2018041003,45.05084746,28.13559322
2018041004,40.43333333,24.38333333
2018041005,42.28333333,26.5
2018041006,43.43333333,28.51666667
2018041007,38.63333333,25.03333333
2018041008,44.01666667,27.13333333
2018041009,43.76666667,24.8
2018041010,50.28333333,28.91666667
2018041011,60.58333333,33.31666667
2018041012,48.15,22.93333333
2018041013,45.56666667,19.31666667
2018041014,41.58333333,16
2018041015,43.38333333,15.35
2018041016,42.43333333,14.56666667
2018041017,39.76666667,10.73333333
2018041018,38.18333333,10.71666667
2018041019,35.91666667,12.36666667
2018041020,29.11666667,11.73333333
2018041021,35.76666667,15.88333333
2018041022,67.2,30.53333333
